decheterie,long,lat
Ambares-et-Lagrave,-0.50447,44.932677
Ambès,-0.538146,45.010195
Bassens,-0.544707,44.921717
Blanquefort,-0.624653,44.923009
Bordeaux - Bastide,-0.551431,44.833999
Bordeaux - Paludate,-0.545263,44.82475
Bordeaux - Surcouf,-0.555126,44.878131
Bruges,-0.620817,44.888539
Saint-Médard-en-Jalles,-0.715553,44.857279
Saint-Paul,0,0
Taillan-Médoc,0,0
Saint-Mariens,0,0
Gradignan,-0.641225,44.778484
Pessac - Beutre,0,0
Villenave-d'Ornon,-0.539573,44.781547
Pessac - Gutemberg,-0.648702,44.785007
Mérignac,-0.688808,44.846529
Saint-Gervais,0,0
Saint-aubin-de-Blaye,0,0
Eysines,-0.659055,44.876536
Bourghail,-0.685198,44.810264